,gripper,time
782,False,1727269622450459794
783,False,1727269622461007961
784,False,1727269622471488928
785,False,1727269622482126519
786,False,1727269622492633002
787,False,1727269622503168306
788,False,1727269622513681540
789,False,1727269622524245678
790,False,1727269622534834783
791,False,1727269622545374546
792,False,1727269622555949208
793,False,1727269622566425786
794,False,1727269622576976745
795,False,1727269622587438811
796,False,1727269622598047607
797,False,1727269622608573408
798,False,1727269622619125496
799,False,1727269622629638804
800,False,1727269622640186820
801,False,1727269622650702130
802,False,1727269622661245190
803,False,1727269622671780644
804,False,1727269622682288555
805,False,1727269622692822181
806,False,1727269622703359329
807,False,1727269622713971849
808,False,1727269622724505494
809,False,1727269622735052208
810,False,1727269622745569675
811,False,1727269622756129897
812,False,1727269622766646708
813,False,1727269622777207375
814,False,1727269622787679061
815,False,1727269622798257713
816,False,1727269622808802256
817,False,1727269622819343082
818,False,1727269622829951843
819,False,1727269622840491775
820,False,1727269622851045004
821,False,1727269622861561184
822,False,1727269622872109537
823,False,1727269622882630120
824,False,1727269622893192138
825,False,1727269622903707661
826,False,1727269622914309881
827,False,1727269622924845123
828,False,1727269622935364665
829,False,1727269622945987217
830,False,1727269622956508608
831,False,1727269622967039891
832,False,1727269622977334463
833,False,1727269622987840727
834,False,1727269622998323000
835,False,1727269623008839852
836,False,1727269623019361076
837,False,1727269623029952347
838,False,1727269623040597323
839,False,1727269623051163879
840,False,1727269623061681361
841,False,1727269623072240874
842,False,1727269623082783193
843,False,1727269623093287456
844,False,1727269623103749411
845,False,1727269623114058148
846,False,1727269623124598233
847,False,1727269623135159610
848,False,1727269623145681454
849,False,1727269623156227572
850,False,1727269623166696052
851,False,1727269623177253152
852,False,1727269623187728149
853,False,1727269623198269427
854,False,1727269623208812816
855,False,1727269623219360852
856,False,1727269623229975482
857,False,1727269623240493754
858,False,1727269623251044708
859,False,1727269623261563596
860,False,1727269623272120552
861,False,1727269623282592648
862,False,1727269623293096436
863,False,1727269623303402774
864,False,1727269623313563901
865,False,1727269623324213943
866,False,1727269623334654495
867,False,1727269623345178188
868,False,1727269623355482195
869,False,1727269623366079944
870,False,1727269623376332239
871,False,1727269623386585154
872,False,1727269623397135628
873,False,1727269623408029936
874,False,1727269623418446631
875,False,1727269623429113551
876,False,1727269623439484976
877,False,1727269623449672340
878,False,1727269623460193636
879,False,1727269623470530080
880,False,1727269623480690991
881,False,1727269623491094879
882,False,1727269623501988762
883,False,1727269623512555141
884,False,1727269623523489552
885,False,1727269623534248973
886,False,1727269623545127741
887,False,1727269623555480134
888,False,1727269623565893053
889,False,1727269623576444755
890,False,1727269623587220416
891,False,1727269623597407117
892,False,1727269623607606829
893,False,1727269623618445898
894,False,1727269623629094606
895,False,1727269623639497796
896,False,1727269623650145244
897,False,1727269623660508914
898,False,1727269623671071088
899,False,1727269623682156566
900,False,1727269623693169274
901,False,1727269623703508292
902,False,1727269623714232874
903,False,1727269623724375371
904,False,1727269623734928253
905,False,1727269623745435392
906,False,1727269623756269975
907,False,1727269623766545693
908,False,1727269623777161192
909,False,1727269623787444097
910,False,1727269623798521555
911,False,1727269623809437016
912,False,1727269623820074202
913,False,1727269623830402221
914,False,1727269623841498907
915,False,1727269623852118795
916,False,1727269623862511461
917,False,1727269623873491320
918,False,1727269623884462271
919,False,1727269623895099721
920,False,1727269623905426792
921,False,1727269623916182553
922,False,1727269623926384904
923,False,1727269623937485187
924,False,1727269623948231660
925,False,1727269623958419218
926,False,1727269623968579567
927,False,1727269623979149326
928,False,1727269623989377292
929,False,1727269623999628810
930,False,1727269624010135607
931,False,1727269624020507646
932,False,1727269624031073712
933,False,1727269624042068223
934,False,1727269624052442732
935,False,1727269624063140174
936,False,1727269624073450851
937,False,1727269624084174587
938,False,1727269624094544845
939,False,1727269624104742948
940,False,1727269624115011796
941,False,1727269624125425908
942,False,1727269624135804266
943,False,1727269624146131797
944,False,1727269624156463634
945,False,1727269624166870718
946,False,1727269624176972122
947,False,1727269624187513969
948,False,1727269624197730155
949,False,1727269624208241306
950,False,1727269624218404966
951,False,1727269624228912022
952,False,1727269624239432615
953,False,1727269624250469597
